time,2G北美规模,3G北美规模,4G北美规模,北美整体规模,2G EMEA规模,3G EMEA规模,4G EMEA规模,EMEA整体规模,2G亚太规模,3G亚太规模,4G亚太规模,亚太整体规模,2G CALA规模,3G CALA规模,4G CALA规模,CALA整体规模
2017-01-01,0.1704170492113827,0.8112174099222321,19.76373617523669,20.74537063437031,1.491640016741857,6.464364212491962,10.08262559662712,18.03862982586094,1.871230151287899,8.338990366652833,36.97133186398024,47.18155238192097,0.2545817403866797,1.523053645833573,2.061320030929359,3.838955417149612
2017-04-01,0.1335973455277812,0.6448282633606879,17.70298367037402,18.48140927926249,1.52731457344519,7.06933879430955,12.84931876773095,21.44597213548569,1.644103415007503,7.968521597362501,42.38235377319508,51.99497878556508,0.2431350340041706,1.74029471711101,2.679440728433093,4.662870479548273
2017-07-01,0.1042977266965979,0.527170809974716,16.31680208839467,16.94827062506599,1.226335495498628,6.857766521938838,12.79744538013028,20.88154739756775,1.498662746388961,6.847446377464335,38.35908780011601,46.7051969239693,0.2179452491480422,1.73306348360381,3.519025873646663,5.470034606398515
2017-10-01,0.1165946416125657,0.7402119823652156,24.89455653970722,25.75136316368501,1.360630528453717,7.670451065835716,15.5193344776487,24.55041607193813,1.406691376496113,8.996762477850133,41.39028718855728,51.79374104290353,0.2196720810740037,1.70046550745251,3.678056585349981,5.598194173876495
2018-01-01,0.07760078860962517,0.4230561681429135,19.19403173464267,19.69468869139521,1.077362750887191,6.35779699887586,14.21401427499431,21.64917402475736,1.046745868549512,6.095224929716028,31.04976718946822,38.19173798773376,0.1660573525359226,1.438127472180484,3.544961522126944,5.14914634684335
2018-04-01,0.07408105280332349,0.6100779486236099,24.28316078177594,24.96731978320287,0.9049330903243014,6.094356228969632,12.36761338824188,19.36690270753581,0.9951864046940755,6.670507692882984,34.43761981714461,42.10331391472167,0.1484621174322353,1.3875309550627,3.98234397782834,5.518337050323275
2018-07-01,0.0654812999141809,0.3608561052089418,24.50060757592519,24.92694498104831,0.8986708602415452,5.37268470902689,13.2280016961173,19.49935726538573,1.0019299686527,6.37278158946173,39.15462655266021,46.52933811077465,0.1524206083167181,1.356508550638013,4.97411783402423,6.483046992978961
2018-10-01,0.07610856548013316,0.6119075071745853,29.66043281408938,30.84014344559781,0.9652356087713652,6.59590656691878,17.57224986674091,25.13339204243106,1.072104622573177,7.150294558607683,49.81968505177647,59.43171214494676,0.1716748956270308,1.41754411992072,4.967839452712137,6.55705846825989
2019-01-01,0.07465207857766365,0.5885593627694623,20.80953932695736,22.6002806858849,0.9290639004004214,3.885051560899979,12.7836630062889,17.75151305671146,1.034518239301542,4.853418850816901,34.76893518886119,44.71702773093003,0.1716574109971821,1.45632675321054,3.6374231421315,5.3234734852
2019-04-01,0.0809301541013995,0.7165952221665627,20.95164280017836,25.36716857272157,0.9729532905231278,3.815788943448301,14.02531108383223,19.3129906732726,1.035368616651055,6.590173862629145,34.31306585566853,50.17046413280277,0.1620544769818178,1.41234551728377,3.72374492930531,5.39464628553113
2019-07-01,0.07219366898942871,0.6609798986276879,19.23448980543358,26.14741535203408,0.8673601649784604,3.924142629524023,13.83738158313435,19.08002705697646,1.001594250302566,7.183766180347654,31.29077837949607,52.76351074666003,0.1612539018709968,1.43423348252464,3.23974351085096,5.03352372114416
2019-10-01,0.07450571445566412,0.606887047838198,13.40730482909056,23.64023645858572,0.9841164132808895,5.143570542802176,18.08300611770992,25.57336102685285,0.9873283567684239,8.428393938262447,32.1159214002389,58.94949356618724,0.162812258758749,1.41222810429375,4.27484733486144,6.10177375926885
